recordid,songid_DBNL,jaar_eind,jaar_begin,bronid,rijmaccent,rijmgeslacht,rijmschema,strofeschema,strofeschema_plus,trefw_genre,aantal_strofe,verstal,text,melodienorm,plaats,filepath_DBNL
129624,_thi001thir06_0072,1708,1708.0,1016156,433433,vmmmmm,aBBCBB,4a 3B 3B 4C 3B 3B,.4a   .3B=  .3B=  .4C   .3B/  .3B/,"dialooglied, wereldlijk
liefdeslied",20,6,"‘Dat alle Bergen goude waren
En alle waters Wyn,
En alle waters Wyn,
Soo had ik jou veel liever,
Moi meisje, waarje myn,
Moi meisje, waarje myn.’

‘Had gy mijn dan veel liever
Als gy mijn doet in schyn, 
Als gy mijn doet in schyn, 
Zo gaat eens voor myn Vader staan
En bid, en bid om myn’
En bid, en bid om myn’

‘ ‘k Heb al voor u Vader geweest
En hy ontsegt het mijn, 
En hy ontsegt het mijn, 
Neemt oorlof aan u selven,
Schoon lief, en gaat met mijn’, 
Schoon lief, en gaat met mijn’, 

‘Oorlof aan mijn selven?
De knaapjes zijn soo loos, 
De knaapjes zijn soo loos, 
O gy my dan verliet, schoon lief,
Zo was ik vriendeloos’, 
Zo was ik vriendeloos’, 

‘‘k En sal u niet verlaten
Van nu tot in der dood, 
Van nu tot in der dood, 
Gy bent een Konings Dochterken,
Een Roosjen alsoo root’, 
Een Roosjen alsoo root’, 

‘Ben ik een Konings Dochterken,
En gy een Grave kinde’ 
En gy een Grave kinde’ 
Sy namen malkander by de hand,
En gingen onder de Linde, 
En gingen onder de Linde, 

Zy namen malkander by de hand,
En gongen onder de Lindt, 
En gongen onder de Lindt, 
Daar speelden sy twee het minnespel,
De schoone werd met kind, 
De schoone werd met kind, 

‘Nu sit ik hier gebonden,
Met mynen kleinen kind, 
Met mynen kleinen kind, 
So bid ik de suiver Maria
Dat sy my weer ontbind’, 
Dat sy my weer ontbind’, 

‘Ik wou dat gy eens ontbonden waard
Van uwen kleinen kind, 
Van uwen kleinen kind, 
En dat ik jou begraven sou
Onder dees groene Lind’, 
Onder dees groene Lind’, 

‘Woud gy dat ik begraven lag
Al onder deese Lind, 
Al onder deese Lind, 
Soo woud ik liever, stout Ruyter,
Dat gy by de keel ophingt.’
Dat gy by de keel ophingt.’

De Ruiter hief op sijn linkerhand
En gaf haare eene slag, 
En gaf haare eene slag, 
So dat sy neder ter aarden viel,
Sy hoorde noch sy sag, 
Sy hoorde noch sy sag, 

‘Al hebje myn nu geslagen,
Schoon lief, ’t en is geen nood, 
Schoon lief, ’t en is geen nood, 
Al eerder seven jaren om sijn,
So selje komen om broot, 
So selje komen om broot, 

Al eer de seven jaren waren,
Den Ruiter kwam om brood, 
Den Ruiter kwam om brood, 
Met een Lazarus klep in sijn hand,
Hy haddet seer van nood, 
Hy haddet seer van nood, 

‘O kind’, sey sy, ‘van seven jaar,
Nou set jou Vader een stoel, 
Nou set jou Vader een stoel, 
Ik hebber den dag wel eer gesien
Hy wasser een Ridder koen, 
Hy wasser een Ridder koen, 

O kind’, sey sey, ‘wel kleine kind,
Nou geeft jou Vader brood, 
Nou geeft jou Vader brood, 
Ik heb den dag wel eer gesien
Hy haddet niet van nood, 
Hy haddet niet van nood, 

O kind’, sey sy, ‘wel kleine kind,
Nou schenkt jou Vader bier, 
Nou schenkt jou Vader bier, 
Ik heb den dag wel eer geleeft
Dat hy was de liefste fier, 
Dat hy was de liefste fier, 

O kind’, sey sy, ‘wel kleine kind,
Nou schenkt jou Vader wyn, 
Nou schenkt jou Vader wyn, 
Ik heb den dag wel eer beleeft,
Hy was de liefste myn’, 
Hy was de liefste myn’, 

Haar Vader agter de deure stont,
Hy hoorden ’t hooge Woord, 
Hy hoorden ’t hooge Woord, 
Hy trock sijn blank zweert uit de schee
En hieuw hem af zyn hoofd, 
En hieuw hem af zyn hoofd, 

Hy nam dat hoofje by het hair,
En wierp het in haar schoot: 
En wierp het in haar schoot: 
‘Hou daar mijn jongste Dochterken,
Beweent dees Appel root’, 
Beweent dees Appel root’, 

‘Soud ik het al beweenen
Dat hier te beweenen waar, 
Dat hier te beweenen waar, 
So had ik wel al de dagen werk
Die daar komen in ’t Jaar’
Die daar komen in ’t Jaar’",,Amsterdam,../../data/dbnl/_thi001thir06_01.xml
180236,_vin002vino02_0009,1783,1783.0,1016329,333344443,vmvmmmmmm,aBaBCCDEE,3a 3B 3a 3B 4C 4C 4D 4E 3E,",3a   .3B   .3a   .3B   ,4C   ,4C    4D   .4E   .3E",,21,9,"KOmt Vrienden al te zamen,
En hoord mijn Liedje aen:
Ik hoef mijn niet te schamen,
Dat ik dit Zingen gaen:
't Is hoe dat ik Slyp Schaer en Mes,
Voor alle Menschen en Cares,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Soo lang mijn Steen kan slypen,
Soo win ik munt en Kruis;
'k En hoor geen Kinders pijpen,
Van honger in mijn huis:
Zy en hebben geen ongemak,
Te gaen al met den Bedelsak,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Ik neem het al in danke,
Dat hier komt by geval,
Al waer het maer een blanke,
Dat ik verdienen zal:
Twee Oortjes voor een roestig mes,
Een elszie ook een Oortjen is,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Laet de Wevers maer weven,
Tot dat zy worden flouw,
't Is veel voor die kan geven,
Twaelf stuyvers aen zijn Vrouw;
Ik winne met mijn Slyp-steen,
Dikwils op een uur alleen,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Den Smit moet lastig werken,
Geduurig aen het vier,
Hy mag hem niet versterken,
Al met een potjen Bier;
Uit Oorsaek van hun klein gewin,
Maer daer speel ik zoo dikwils in,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Den Mulder die wind veele,
Maer krygt het met zijn schep,
Den Bakker kan ook steele,
Want die houd ook een knyp:
Maer ik met mijn Slyp-steen gezeid,
Win Geld al in Regtveerdigheid,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Den Kleeremaker maekt figure,
Al voor tien stuivers daegs,
Als de Winter is voor de deure,
Dan wort hy haest gekraekt,
Den Winter en ontsien ik niet,
Mits elk my iet tot Slypen biet,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

De Schoenmakers tempeesten,
Al voor een klein gewin,
Slaen op hun Pik en Leesten,
Nog hebben zy 't krollen in;
Moet ik van 't begin der week,
Met mijn wagen op de streek,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Ik weet daer nog een Schaerken,
Dat moet geslepen zijn,
By 't huis al van mijn Snaerken,
Dat is al winst voor mijn;
Dan gaen ik na huis met plaisier,
En gaen drinken een Kanne bier,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Scheeps-Timmerlieden knapen,
Uw werk dat gaet thans vink,
Door 't zwiere en weinig slapen,
Soo maekt gy menig bink;
Hoe wel ik ook wel zoen de Meid,
Soo drait mijn steen dog op zijn teid,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Huis-Timmerlien behoren,
Onder 't St Josephs Gild,
Uw werk kan veel bekoren,
Maer had gy niet gewild;
Dat gy kon het Scharesliep,,
Ik weet dat gy nooit leeg en liep,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

De Metselaers dat weetje,
Die leggen veel op 't dak,
De Baes kykijt door een speeltje,
Maer dan krijgt Jan de zak:
Dog ik zie niemand na het Oog;
Ik ben mijn eigen Baes en Voogt,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

De Drukkers losse zielen,
Die drukken al wat veel,
Het meest dat zy verdienen,
Dat drinkense door de Keel;
Want veel die dragen Lap op Lap,
Daer ik altoos ben even knap,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Chirurgijns ziet men loopen,
Te schrapen menig baerd,
Geen brood konnense koopen,
Soo ik 'er niet en waer,
Want ik moet slijpen haer mes fijn,
Lancette in 't groot en klijn,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Want dunkt u van de Dellen,
Die lijken Heeren groot,
Maer wilt de zwier niet tellen,
Het is al om 't Brood:
Zy Kappen de Dames mooi in 't Haer,
Maer 't meest fatzoen dat maekt de Schaer,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

De Slagers grote bollen,
Als zy zijn in de Hal,
Het meest zy mogen dollen,
Maer dat is ook het al:
Want sleep in niet haer Messen fijn,
Hoe kregen zy het Beest dan klijn?
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

De Naeysters gaen uit naeyen,
En dat voor een klein Geld,
Te maken Jak, Cabaye,
Of anders wat verstelt;
Dog maekte ik niet scharp de Schaer,
Zy raekte onder de Luy nooit klaer,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Ik Slyp ook wel mijn Mesje,
Al by een Lieve Meid,
Die wel houd van een klesje,
Dog maer in stilligheid;
Zy laten 't mijn ook soo graeg doen,
En doen het zagjes met fatsoen,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Diamant slypers ligte quanten,
Wat dunkt u van die lien,
Zy sliepe Diamanten,
En dat ook met een Stien,
Maer de Meid gaet met het gewin,
Daer ik mijn bien voer na mijn zin,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

De Lied-Zangers die lopen,
En dat van Mart tot Mart,
Om Liedjes te Verkopen,
En schreyen als een hart;
Om klein gewin blyf in in d' Stad,
Ik roep Schaeresliep, dan win ik wat,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.

Ik zegge voor het Leste,
Veel Ambachten zijn goed,
Maer 't mijne is 't alderbeste,
Schoon dat ik veeltijds moet:
Slapen in Hooy en Strooy in Stal,
'k Heb de Kost voor niemendal,
Tiereliere, Tierela,
Van Linksom, Regtsom drait mijn Steen,
Door 't roeren al van mijn Been.",Komt vrienden in het ronde,Amsterdam,../../data/dbnl/_vin002vino02_01.xml
